time,operation,flight,ac_type,runway
2025-05-01 00:00:08,takeoff,AAL1951,A320,27
2025-05-01 00:00:39,takeoff,N950DM,GA6C,27
2025-05-01 00:01:46,takeoff,UAL2486,B738,27
2025-05-01 00:03:05,takeoff,SWA1356,B38M,27
2025-05-01 00:06:20,landing,UPS2636,B763,27
2025-05-01 00:07:30,takeoff,SWA2316,B737,27
2025-05-01 00:08:49,takeoff,SWA482,B737,27
2025-05-01 00:09:47,landing,ACA1014,A321,27
2025-05-01 00:11:00,takeoff,AAL2361,A321,27
2025-05-01 00:11:49,takeoff,SKW3388,E75L,27
2025-05-01 00:13:26,landing,SKW3607,E75L,27
2025-05-01 00:16:13,landing,VJA536,CL30,27
2025-05-01 00:21:58,takeoff,UAL222,B38M,27
2025-05-01 00:26:14,landing,SWA495,B737,27
2025-05-01 00:29:11,landing,SWA1568,B738,27
2025-05-01 00:32:14,landing,SWA1397,B738,27
2025-05-01 00:33:28,takeoff,DAL1210,A321,27
2025-05-01 00:34:08,takeoff,DAL8888,B752,27
2025-05-01 00:35:39,landing,SKW3378,E75L,27
2025-05-01 00:37:31,landing,SKW5415,E75L,27
2025-05-01 00:39:09,landing,PCM7684,C208,
2025-05-01 00:40:45,takeoff,DLH2P,A359,27
2025-05-01 00:43:38,landing,DAL2613,BCS1,27
2025-05-01 00:45:19,takeoff,SWA431,B737,27
2025-05-01 00:46:45,landing,BAW82P,B788,27
2025-05-01 00:48:25,takeoff,SWA1412,B737,27
2025-05-01 00:49:21,landing,ASA1397,B39M,27
2025-05-01 00:50:23,takeoff,SKW3741,E75L,27
2025-05-01 00:52:11,landing,SWA935,B737,27
2025-05-01 00:53:25,takeoff,SKW3357,E75L,27
2025-05-01 00:54:18,takeoff,ASA1061,B739,27
2025-05-01 00:55:56,landing,EJA637,C68A,27
2025-05-01 00:57:22,landing,SWA3105,B737,27
2025-05-01 00:58:31,takeoff,UAL1497,B739,27
2025-05-01 01:00:02,landing,FFT1571,A20N,27
2025-05-01 01:01:10,takeoff,SWA2547,B737,27
2025-05-01 01:02:34,takeoff,SWA654,B38M,27
2025-05-01 01:03:53,takeoff,DAL8887,B752,27
2025-05-01 01:06:35,landing,EJM999,C56X,27
2025-05-01 01:09:19,takeoff,CSB129,B763,27
2025-05-01 01:11:32,landing,UAL1434,B39M,27
2025-05-01 01:14:19,landing,AAL480,A21N,27
2025-05-01 01:15:13,takeoff,VJA536,CL30,27
2025-05-01 01:17:01,landing,PCM7685,C208,
2025-05-01 01:18:03,takeoff,SWA495,B737,27
2025-05-01 01:19:16,landing,LXJ419,E545,27
2025-05-01 01:20:47,landing,SWA673,B737,27
2025-05-01 01:22:08,takeoff,UAL1968,B739,27
2025-05-01 01:22:45,landing,SWA1296,B738,27
2025-05-01 01:24:15,takeoff,UAL427,B752,27
2025-05-01 01:25:16,landing,AAL3245,A21N,27
2025-05-01 01:26:32,takeoff,ASA1245,B39M,27
2025-05-01 01:27:38,takeoff,SWA1568,B738,27
2025-05-01 01:29:40,takeoff,SKW3686,E75L,27
2025-05-01 01:31:12,takeoff,UAL1924,B738,27
2025-05-01 01:32:40,landing,DAL1252,A321,27
2025-05-01 01:34:35,landing,SKW3133,E75L,27
2025-05-01 01:35:58,landing,PFT103,C56X,27
2025-05-01 01:37:30,landing,SWA1870,B38M,27
2025-05-01 01:38:43,takeoff,SWA1397,B738,27
2025-05-01 01:40:25,landing,ASA1146,B39M,27
2025-05-01 01:41:21,takeoff,SWA921,B737,27
2025-05-01 01:42:13,landing,SWA2965,B38M,27
2025-05-01 01:43:46,takeoff,SKW3151,E75L,27
2025-05-01 01:45:46,landing,XBILI,AC90,27
2025-05-01 01:47:03,takeoff,SWA3605,B737,27
2025-05-01 01:49:26,landing,ASA474,B738,27
2025-05-01 01:50:55,takeoff,ASA895,B739,27
2025-05-01 01:59:41,landing,AAL562,A321,27
2025-05-01 02:01:13,takeoff,ACA1015,A321,27
2025-05-01 02:02:18,takeoff,PFT103,C56X,27
2025-05-01 02:04:03,landing,SWA1372,B737,27
2025-05-01 02:06:00,landing,JBU319,A321,27
2025-05-01 02:07:15,takeoff,DAL2613,BCS1,27
2025-05-01 02:08:16,landing,UAL2331,A21N,27
2025-05-01 02:10:06,landing,AAL1543,A321,27
2025-05-01 02:11:41,landing,SWA2257,B738,27
2025-05-01 02:12:28,takeoff,EJA637,C68A,27
2025-05-01 02:13:26,landing,DAL731,B764,27
2025-05-01 02:15:26,landing,N457MP,GLF4,27
2025-05-01 02:16:32,takeoff,SWA2175,B737,27
2025-05-01 02:17:25,landing,ASA507,B39M,27
2025-05-01 02:18:15,takeoff,SWA1296,B738,27
2025-05-01 02:19:29,landing,QXE2305,E75L,27
2025-05-01 02:20:25,takeoff,UPS921,B763,27
2025-05-01 02:21:27,landing,SWA2445,B737,27
2025-05-01 02:23:21,landing,EJM347,CL35,27
2025-05-01 02:24:24,takeoff,FFT4578,A20N,27
2025-05-01 02:25:46,landing,SWA107,B38M,27
2025-05-01 02:26:57,takeoff,DAL1056,A321,27
2025-05-01 02:28:12,takeoff,FDX1654,B763,27
2025-05-01 02:30:10,landing,SWA1310,B38M,27
2025-05-01 02:31:41,takeoff,FDX1222,B763,27
2025-05-01 02:35:45,landing,ACW2504,C56X,27
2025-05-01 02:37:07,takeoff,SWA1264,B38M,27
2025-05-01 02:39:21,landing,JBU1189,A21N,27
2025-05-01 02:40:34,takeoff,AAL2950,A21N,27
2025-05-01 02:42:09,landing,SWA39,B737,27
2025-05-01 02:42:57,takeoff,N457MP,GLF4,27
2025-05-01 02:44:48,landing,ASA1485,B739,27
2025-05-01 02:46:45,landing,ASA25,B739,27
2025-05-01 02:49:32,landing,ACA527,BCS3,27
2025-05-01 02:51:06,takeoff,UAL505,B39M,27
2025-05-01 02:52:14,landing,DAL352,A21N,27
2025-05-01 02:54:10,landing,SWA4102,B737,27
2025-05-01 02:56:04,landing,SWA4063,B737,27
2025-05-01 02:58:54,landing,SKW3176,E75L,27
2025-05-01 03:00:36,landing,SKW3169,E75L,27
2025-05-01 03:02:39,takeoff,SWA2257,B738,27
2025-05-01 03:03:55,landing,UAL1626,B752,27
2025-05-01 03:05:53,landing,ASA397,B739,27
2025-05-01 03:07:10,takeoff,ASA1005,B738,27
2025-05-01 03:08:17,takeoff,BAW9SW,B788,27
2025-05-01 03:09:59,landing,DAL2145,A321,27
2025-05-01 03:11:13,takeoff,SWA2853,B38M,27
2025-05-01 03:12:18,takeoff,SWA1372,B737,27
2025-05-01 03:13:15,takeoff,SKW3104,E75L,27
2025-05-01 03:15:07,landing,SKW3377,E75L,27
2025-05-01 03:16:32,landing,SWA2927,B38M,27
2025-05-01 03:17:10,takeoff,EJM189,CL30,27
2025-05-01 03:18:44,landing,SKW3384,E75L,27
2025-05-01 03:20:04,landing,ASA854,B739,27
2025-05-01 03:21:00,takeoff,ASA1199,B39M,27
2025-05-01 03:22:05,landing,UAL1373,B39M,27
2025-05-01 03:23:32,landing,UAL2633,B38M,27
2025-05-01 03:25:08,landing,ASA899,B738,27
2025-05-01 03:26:03,takeoff,SWA2445,B737,27
2025-05-01 03:27:12,landing,SKW3388,E75L,27
2025-05-01 03:28:42,landing,DAL571,A21N,27
2025-05-01 03:30:02,landing,SWA448,B38M,27
2025-05-01 03:31:24,takeoff,SWA4787,B38M,27
2025-05-01 03:32:43,landing,SKW3489,E75L,27
2025-05-01 03:33:50,takeoff,QXE2155,E75L,27
2025-05-01 03:35:02,landing,ASA1098,B739,27
2025-05-01 03:35:55,takeoff,FDX1839,B752,27
2025-05-01 03:36:53,landing,SWA756,B738,27
2025-05-01 03:38:08,takeoff,SWA3392,B737,27
2025-05-01 03:39:34,landing,NKS379,A320,27
2025-05-01 03:43:27,takeoff,JBU2120,A321,27
2025-05-01 03:44:47,takeoff,SKW5636,E75L,27
2025-05-01 03:50:10,landing,AAL2056,A321,27
