#episode,total_reward,max_reward,ending_time,planes_taken_off,planes_landed,planes_encountered,go_arounds,crashes,processed_planes,reward_efficiency
0,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
1,248.64999999999998,412.5,1827,4,4,10,0,2,0.8,0.6027878787878788
2,243.25,387.5,1435,5,3,10,0,2,0.8,0.6277419354838709
3,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
4,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
5,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
6,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
7,389.3,412.5,1714,5,5,10,0,0,1.0,0.9437575757575758
8,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
9,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
10,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
11,243.25,387.5,1435,5,3,10,0,2,0.8,0.6277419354838709
12,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
13,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
14,358.1,362.5,1338,7,3,10,0,0,1.0,0.9878620689655173
15,436.5,462.5,1770,3,7,10,0,0,1.0,0.9437837837837838
16,283.05,437.5,1639,3,5,10,0,2,0.8,0.6469714285714286
17,245.5,387.5,1390,5,3,10,0,2,0.8,0.6335483870967742
18,228.75,337.5,1425,8,0,10,0,0,0.8,0.6777777777777778
19,334.85,337.5,1303,8,2,10,0,0,1.0,0.9921481481481482
20,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
21,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
22,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
23,314.0,462.5,1520,2,6,10,0,2,0.8,0.6789189189189189
24,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
25,367.95,362.5,1141,7,3,10,0,0,1.0,1.0150344827586206
26,220.89999999999998,387.5,1882,5,3,10,0,2,0.8,0.5700645161290322
27,278.25,337.5,1435,8,1,10,0,0,0.9,0.8244444444444444
28,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
29,243.25,387.5,1435,5,3,10,0,2,0.8,0.6277419354838709
0,225.85000000000002,387.5,1783,5,3,10,0,2,0.8,0.5828387096774195
1,295.25,487.5,1395,1,6,10,0,2,0.7,0.6056410256410256
2,297.15,462.5,1857,2,6,10,0,2,0.8,0.6424864864864864
3,240.0,412.5,2000,4,4,10,0,2,0.8,0.5818181818181818
4,245.5,387.5,1390,5,3,10,0,2,0.8,0.6335483870967742
5,364.05,362.5,1219,7,3,10,0,0,1.0,1.0042758620689656
6,283.05,437.5,1639,3,5,10,0,2,0.8,0.6469714285714286
7,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
8,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
9,358.1,362.5,1338,7,3,10,0,0,1.0,0.9878620689655173
10,392.2,387.5,1156,6,4,10,0,0,1.0,1.0121290322580645
11,399.85,412.5,1503,5,5,10,0,0,1.0,0.9693333333333334
12,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
13,248.64999999999998,412.5,1827,4,4,10,0,2,0.8,0.6027878787878788
14,295.25,462.5,1895,2,6,10,0,2,0.8,0.6383783783783784
15,372.0,362.5,1060,7,3,10,0,0,1.0,1.0262068965517241
16,281.35,412.5,1173,4,4,10,0,2,0.8,0.6820606060606061
17,336.7,337.5,1266,8,2,10,0,0,1.0,0.9976296296296296
18,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
19,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
20,389.3,412.5,1714,5,5,10,0,0,1.0,0.9437575757575758
21,361.95,362.5,1261,7,3,10,0,0,1.0,0.9984827586206896
22,389.2,387.5,1216,6,4,10,0,0,1.0,1.0043870967741935
23,248.75,412.5,1825,4,4,10,0,2,0.8,0.603030303030303
24,281.35,412.5,1173,4,4,10,0,2,0.8,0.6820606060606061
25,456.0,487.5,1880,2,8,10,0,0,1.0,0.9353846153846154
26,479.7,487.5,1406,2,8,10,0,0,1.0,0.984
27,399.75,412.5,1505,5,5,10,0,0,1.0,0.9690909090909091
28,390.3,387.5,1194,6,4,10,0,0,1.0,1.0072258064516129
29,413.35,412.5,1233,5,5,10,0,0,1.0,1.002060606060606
