time,operation,flight,ac_type,runway
2024-07-01 00:18:59,landing,N9294Q,P28A,
2024-07-01 00:47:48,landing,CCQ477,BE9L,14
2024-07-01 01:45:17,landing,SKW5580,E75L,14
2024-07-01 02:30:08,landing,UAL1004,B738,14
2024-07-01 02:51:10,takeoff,AAY78,A319,14
2024-07-01 03:21:38,landing,ENY3439,E75L,14
2024-07-01 04:01:57,landing,UAL1351,A319,14
2024-07-01 04:06:11,takeoff,N231DC,M20P,14
2024-07-01 04:27:36,takeoff,N293AM,B407,
2024-07-01 05:03:42,takeoff,N854AL,PC12,14
2024-07-01 05:05:02,landing,N293AM,B407,
2024-07-01 05:39:33,landing,DAL1012,B739,14
2024-07-01 07:09:49,takeoff,N422PM,BE9L,5
2024-07-01 08:51:14,landing,N422PM,BE9L,23
2024-07-01 10:27:11,landing,N854AL,PC12,23
2024-07-01 10:29:26,takeoff,N422PM,BE9L,5
2024-07-01 11:37:45,takeoff,SKW5576,E75L,32
2024-07-01 11:53:38,takeoff,N9294Q,P28A,32
2024-07-01 11:59:21,takeoff,DAL1297,B739,32
2024-07-01 12:07:37,takeoff,ENY3327,E75L,32
2024-07-01 13:05:40,landing,N7265T,C172,11
2024-07-01 13:08:25,landing,MWT552,C550,32
2024-07-01 13:10:51,takeoff,UAL2045,B738,32
2024-07-01 13:23:10,takeoff,N33661,P28A,32
2024-07-01 13:38:58,takeoff,N7265T,C172,32
2024-07-01 14:15:12,landing,OTA8,PC12,32
2024-07-01 14:29:14,takeoff,N267NM,VEZE,32
2024-07-01 14:42:15,takeoff,OTA8,PC12,32
2024-07-01 15:02:33,landing,N111SA,C172,32
2024-07-01 15:04:43,takeoff,UAL2619,A319,32
2024-07-01 15:12:08,landing,ENY3872,E170,32
2024-07-01 15:54:15,landing,N400FC,C414,32
2024-07-01 15:59:46,landing,UAL398,A320,32
2024-07-01 16:09:56,landing,N422PM,BE9L,32
2024-07-01 16:15:33,landing,N1012P,M20P,32
2024-07-01 16:18:06,takeoff,ENY3872,E170,32
2024-07-01 16:21:14,takeoff,1320639,SLG2,
2024-07-01 16:21:58,takeoff,N111SA,C172,32
2024-07-01 16:36:29,takeoff,CAP4047,C172,32
2024-07-01 16:42:44,takeoff,N293AM,B407,
2024-07-01 16:47:03,landing,N9294Q,P28A,
2024-07-01 16:54:55,landing,SKW3851,E75L,32
2024-07-01 17:04:23,landing,SKW5862,CRJ2,32
2024-07-01 17:05:32,landing,CAP4047,C172,32
2024-07-01 17:06:43,takeoff,N956HC,C25B,32
2024-07-01 17:10:39,landing,AAL2890,A319,32
2024-07-01 17:20:46,landing,ENY3534,E75L,32
2024-07-01 17:42:32,takeoff,UAL1559,A320,32
2024-07-01 17:54:25,takeoff,N76JN,PA31,32
2024-07-01 17:55:59,takeoff,N854AL,PC12,14
2024-07-01 18:04:55,takeoff,SKW3851,E75L,32
2024-07-01 18:09:34,landing,WIS500,PA31,23
2024-07-01 18:11:22,takeoff,AAL2890,A319,32
2024-07-01 18:24:44,landing,N293AM,B407,
2024-07-01 18:35:15,landing,N76JN,PA31,32
2024-07-01 18:36:12,takeoff,WIS500,PA31,14
2024-07-01 18:40:53,takeoff,N44669,P28A,32
2024-07-01 18:50:38,landing,ASP489,C25B,32
2024-07-01 18:52:36,takeoff,ENY3534,E75L,32
2024-07-01 18:54:07,landing,UAL2297,B738,32
2024-07-01 18:56:24,takeoff,SKW5890,CRJ2,32
2024-07-01 19:08:08,landing,N6296V,BE35,32
2024-07-01 19:15:16,landing,N450AM,B407,
2024-07-01 19:18:47,landing,OPN71,SF50,32
2024-07-01 19:21:09,takeoff,ASP489,C25B,32
2024-07-01 19:39:34,takeoff,N450AM,B407,
2024-07-01 19:42:39,landing,EDV5041,CRJ9,32
2024-07-01 19:45:09,takeoff,OPN71,SF50,32
2024-07-01 19:51:26,landing,N44669,P28A,
2024-07-01 20:00:54,takeoff,UAL2620,B738,32
2024-07-01 20:02:58,landing,ENY3975,E170,32
2024-07-01 20:05:09,landing,N267NM,VEZE,32
2024-07-01 20:25:17,takeoff,N6296V,BE35,
2024-07-01 20:49:11,takeoff,ENY3975,E170,32
2024-07-01 21:11:22,landing,EJA765,CL30,32
2024-07-01 21:15:05,landing,AAY678,A320,32
2024-07-01 21:17:47,takeoff,EDV5041,CRJ9,32
2024-07-01 21:23:12,takeoff,MWT552,C550,32
2024-07-01 21:49:36,landing,N854AL,PC12,32
2024-07-01 21:59:55,landing,SKW5834,CRJ2,32
2024-07-01 22:06:15,landing,ENY3532,E75L,32
2024-07-01 22:18:40,landing,SCX1879,B738,32
2024-07-01 22:27:11,takeoff,AAY698,A320,32
2024-07-01 22:30:28,takeoff,N773SD,BE9L,32
2024-07-01 22:33:09,takeoff,N1012P,M20P,32
2024-07-01 22:39:22,landing,JTL717,C56X,32
2024-07-01 22:58:28,landing,SKW5265,CRJ2,32
2024-07-01 23:00:12,takeoff,SKW5545,CRJ2,32
2024-07-01 23:05:54,takeoff,ENY3532,E75L,32
2024-07-01 23:22:47,landing,AIP1044,B190,32
2024-07-01 23:25:02,takeoff,SCX1880,B738,32
2024-07-01 23:29:59,landing,N956HC,C25B,32
2024-07-01 23:59:33,takeoff,SKW4660,CRJ2,32
