time,icao,operation,airport,registration,flight,ac_type,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
2024-07-01 00:18:59,ace28c,landing,KRAP,N9294Q,N9294Q,P28A,,https://globe.adsbexchange.com/?icao=ace28c&zoom=13.5&showTrace=2024-07-01&timestamp=1719793139,204.0,adsb_icao,A1,1998.0,PIPER,PA-28-181,PLANE TRAINING LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 00:47:48,a5dc2e,landing,KRAP,N477M,CCQ477,BE9L,14,https://globe.adsbexchange.com/?icao=a5dc2e&zoom=13.5&showTrace=2024-07-01&timestamp=1719794868,5145.0,adsb_icao,A1,1987.0,BEECH,C90,AIRCRAFT UNLIMITED INC,f,f,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 01:45:17,a0808f,landing,KRAP,N131SY,SKW5580,E75L,14,https://globe.adsbexchange.com/?icao=a0808f&zoom=13.5&showTrace=2024-07-01&timestamp=1719798317,5103.0,adsb_icao,A3,2015.0,EMBRAER S A,ERJ 170-200 LR,SKYWEST AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 02:30:08,a03618,landing,KRAP,N11206,UAL1004,B738,14,https://globe.adsbexchange.com/?icao=a03618&zoom=13.5&showTrace=2024-07-01&timestamp=1719801008,5162.0,adsb_icao,A3,2000.0,BOEING,737-824,UNITED AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 02:51:10,a37e6c,takeoff,KRAP,N324NV,AAY78,A319,14,https://globe.adsbexchange.com/?icao=a37e6c&zoom=13.5&showTrace=2024-07-01&timestamp=1719802270,3235.0,adsb_icao,A3,2006.0,AIRBUS,A319-112,SUNRISE ASSET MANAGEMENT LLC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 03:21:38,a2fe21,landing,KRAP,N292NN,ENY3439,E75L,14,https://globe.adsbexchange.com/?icao=a2fe21&zoom=13.5&showTrace=2024-07-01&timestamp=1719804098,2330.0,adsb_icao,A3,2020.0,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,AMERICAN AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 04:01:57,abacd2,landing,KRAP,N851UA,UAL1351,A319,14,https://globe.adsbexchange.com/?icao=abacd2&zoom=13.5&showTrace=2024-07-01&timestamp=1719806517,5123.0,adsb_icao,A3,2002.0,AIRBUS,A319-131,UNITED AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 04:06:11,a20c85,takeoff,KRAP,N231DC,N231DC,M20P,14,https://globe.adsbexchange.com/?icao=a20c85&zoom=13.5&showTrace=2024-07-01&timestamp=1719806771,3216.0,adsb_icao,A1,1979.0,MOONEY AIRCRAFT CORP.,M20K,M2OK LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 04:27:36,a300ab,takeoff,KRAP,N293AM,N293AM,B407,,https://globe.adsbexchange.com/?icao=a300ab&zoom=13.5&showTrace=2024-07-01&timestamp=1719808056,1200.0,adsb_icao,A7,2015.0,BELL HELICOPTER TEXTRON CANADA,407,AIR METHODS LLC,f,f,H1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 05:03:42,abb63f,takeoff,KRAP,N854AL,N854AL,PC12,14,https://globe.adsbexchange.com/?icao=abb63f&zoom=13.5&showTrace=2024-07-01&timestamp=1719810222,1200.0,adsb_icao,A1,2001.0,PILATUS,PC-12/45,AIR METHODS LLC,f,f,L1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
